연번	어휘		
1	가게		
2	가격		
3	가구		
4	가깝다		
5	가끔		
6	가난하다		
7	가늘다		
8	가능하다		
9	가다		
10	가르치다		
11	가리키다		
12	가방		
13	가볍다		
14	가수		
15	가슴		
16	가요		
17	가운데		
18	가위		
19	가을		
20	가장		
21	가져가다		
22	가져오다		
23	가족		
24	가지		
25	가지다		
26	각		
27	각자		
28	간단하다		
29	간식		
30	간장		
31	간호사		
32	갈비		
33	갈비탕		
34	갈색		
35	갈아입다		
36	갈아타다		
37	감기		
38	감다		
39	감동		
40	감사하다		
41	감자		
42	갑자기		
43	값		
44	강		
45	강아지		
46	강하다		
47	같다		
48	같이		
49	개(의존명)		
50	개(동물)		
51	개월		
52	개인		
53	거기		
54	거실		
55	거울		
56	거의		
57	거짓말		
58	걱정		
59	걱정하다		
60	건강		
61	건강하다		
62	건너가다		
63	건너다		
64	건너편		
65	건물		
66	걷다		
67	걸다		
68	걸리다		
69	걸어가다		
70	걸어오다		
71	검사		
72	검은색		
73	것		
74	겉		
75	게으르다		
76	게임		
77	겨울		
78	결과		
79	결국		
80	결석하다		
81	결심		
82	결정하다		
83	결혼		
84	결혼식		
85	결혼하다		
86	경기		
87	경기장		
88	경찰관		
89	경찰서		
90	경치		
91	경험		
92	계단		
93	계란		
94	계산하다		
95	계속		
96	계시다		
97	계절		
98	계획하다		
99	고구마		
100	고기		
101	고등학교		
102	고르다		
103	고맙다		
104	고모		
105	고모부		
106	고민하다		
107	고생하다		
108	고속도로		
109	고속버스		
110	고양이		
111	고장나다		
112	고추		
113	고치다		
114	고프다		
115	고향		
116	곡		
117	곧		
118	골고루		
119	곱다		
120	곳		
121	공		
122	공과금		
123	공부		
124	공부하다		
125	공연		
126	공연하다		
127	공원		
128	공장		
129	공중전화		
130	공짜		
131	공책		
132	공포영화		
133	공항		
134	공휴일		
135	과		
136	과거		
137	과일		
138	과자		
139	과학		
140	관계		
141	관광		
142	관광객		
143	관광지		
144	관광하다		
145	관리		
146	관리비		
147	관리하다		
148	관심		
149	광고		
150	괜찮다		
151	괴롭다		
152	굉장히		
153	교과서		
154	교사		
155	교수		
156	교실		
157	교통		
158	교통사고		
159	교통편		
160	교환하다		
161	교회		
162	구경		
163	구경하다		
164	구두		
165	구름		
166	구입하다		
167	국가		
168	국내		
169	국물		
170	국민		
171	국수		
172	국어		
173	국적		
174	국제		
175	군인		
176	굵다		
177	궁금하다		
178	권		
179	귀		
180	귀걸이		
181	귀엽다		
182	규칙		
183	귤		
184	그		
185	그냥		
186	그대로		
187	그동안		
188	그래		
189	그래서		
190	그램		
191	그러나		
192	그러니까		
193	그런데		
194	그럼		
195	그렇게		
196	그렇다		
197	그렇지만		
198	그릇		
199	그리고		
200	그리다		
201	그림		
202	그립다		
203	그만		
204	그만두다		
205	그저께		
206	극장		
207	근무하다		
208	근처		
209	글		
210	글쎄		
211	글씨		
212	글자		
213	금방		
214	금연		
215	금요일		
216	금지		
217	기간		
218	기다리다		
219	기대		
220	기대하다		
221	기르다		
222	기분		
223	기쁘다		
224	기사		
225	기사02		
226	기숙사		
227	기억		
228	기억하다		
229	기온		
230	기자		
231	기차		
232	기침하다		
233	기타		
234	기회		
235	긴장되다		
236	길		
237	길다		
238	길이		
239	김		
240	김밥		
241	김치		
242	김치찌개		
243	깊다		
244	깊이		
245	까맣다		
246	깎다		
247	깜짝		
248	깨끗이		
249	깨끗하다		
250	깨다		
251	껌		
252	꼭		
253	꽃		
